"Gene.Symbol","log2FC_157resWT.157KO","log2FC_157res264.157KO","log2FC_157resmut1.157KO","log2FC_157resmut1V2.157KO","log2FC_157resmut2.157KO","log2FC_157res264.157resWT","log2FC_157resmut1.157resWT","log2FC_157resmut1V2.157resWT","log2FC_157resmut2.157resWT","log2FC_157resmut1.157res264","log2FC_157resmut1V2.157res264","log2FC_157resmut2.157res264","log2FC_157resmut1V2.157resmut1","log2FC_157resmut2.157resmut1","log2FC_157resmut2.157resmut1V2","p.val_157resWT.157KO","p.val_157res264.157KO","p.val_157resmut1.157KO","p.val_157resmut1V2.157KO","p.val_157resmut2.157KO","p.val_157res264.157resWT","p.val_157resmut1.157resWT","p.val_157resmut1V2.157resWT","p.val_157resmut2.157resWT","p.val_157resmut1.157res264","p.val_157resmut1V2.157res264","p.val_157resmut2.157res264","p.val_157resmut1V2.157resmut1","p.val_157resmut2.157resmut1","p.val_157resmut2.157resmut1V2","q.val_157resWT.157KO","q.val_157res264.157KO","q.val_157resmut1.157KO","q.val_157resmut1V2.157KO","q.val_157resmut2.157KO","q.val_157res264.157resWT","q.val_157resmut1.157resWT","q.val_157resmut1V2.157resWT","q.val_157resmut2.157resWT","q.val_157resmut1.157res264","q.val_157resmut1V2.157res264","q.val_157resmut2.157res264","q.val_157resmut1V2.157resmut1","q.val_157resmut2.157resmut1","q.val_157resmut2.157resmut1V2","p.val_anova","q.val_anova","X157KO","X157res264","X157resmut1","X157resmut1V2","X157resmut2","X157resWT","X157KO_1","X157KO_2","X157KO_3","X157resWT_1","X157resWT_2","X157resWT_3","X157res264_1","X157res264_2","X157res264_3","X157resmut1_1","X157resmut1_2","X157resmut1_3","X157resmut1V2_1","X157resmut1V2_2","X157resmut1V2_3","X157resmut2_1","X157resmut2_2","X157resmut2_3","cluster","Organelle"
"A2M",0.376549318126836,1.00227287607516,0.944661113634934,0.847075505337522,0.498272993441716,0.625723557948319,0.568111795508098,0.470526187210686,0.12172367531488,-0.0576117624402216,-0.155197370737634,-0.503999882633439,-0.0975856082974119,-0.446388120193218,-0.348802511895806,0.031156017344271,9.91023687743833e-06,1.97338161234711e-05,6.58958272018108e-05,0.00645945286557516,0.00117954392775132,0.00254743215193328,0.00931511151464778,0.456925554125972,0.722988795122777,0.345436419659235,0.00598731129238317,0.549684794074808,0.0127727699955178,0.0438675689180568,0.0475797672928272,2.76682813995503e-05,6.48538479635685e-05,0.000216562165778815,0.0111441528541026,0.0029584725934779,0.0173543815350455,0.0470431114330475,0.612041602454452,0.796688579629817,0.441456606657821,0.0167159085815095,0.997277357167134,0.0304312990057145,0.0868717337544562,0.000153334278554394,0.000265468214889671,13.6678158101694,14.6700886862445,14.6124769238043,14.5148913155069,14.1660888036111,14.0443651282962,13.8025013488251,13.5284398413548,13.6725062403282,13.9585043703029,13.9990126308842,14.1755783837016,14.7233043529592,14.9221935087116,14.3647681970627,14.4160980368581,14.6687211862451,14.7526115483096,14.2800669615605,14.728444672269,14.5361623126911,14.1462533287984,14.2900577752576,14.0619553067772,2,NA
"AARS1",-0.46626131826513,-0.687410855221924,-0.75457628361112,-0.787419259547759,-0.54395068761931,-0.221149536956795,-0.28831496534599,-0.32115794128263,-0.0776893693541807,-0.0671654283891953,-0.100008404325835,0.143460167602614,-0.0328429759366397,0.210625595991809,0.243468571928449,0.00675225545274985,0.000298059178575763,0.000118375769833748,7.5952050491155e-05,0.00225023544901706,0.160654682630537,0.0730144021764772,0.0482816057413485,0.612614048902739,0.661243574372113,0.515618879284394,0.354336426466298,0.829952769562078,0.180309845675625,0.124805364945855,0.0120985618249271,0.000608208121025114,0.000323425211475298,0.000244391837742757,0.00429366588959054,0.230919038330486,0.172077185669968,0.13788720591634,0.752393592455195,0.742409094659849,0.607418459156328,0.460046083920004,0.997277357167134,0.25831903411141,0.201413223132853,0.00400694807230682,0.00521241976984319,13.742732832093,13.055321976871,12.9881565484819,12.9553135725452,13.1987821444737,13.2764715138278,13.660163006148,13.8274600827583,13.7405754073727,13.0391951334156,13.5947585906204,13.1954608174475,13.1555243561498,13.0604063758212,12.9500351986422,12.9038225938706,12.8296234868204,13.2310235647546,12.9971240311617,13.1054863197461,12.7633303667278,13.4641314895341,12.9643583075138,13.1678566363731,1,"Cytosol"
"AARS2",-0.405924101254848,2.00021818594564,0.0052641267338855,0.0398171074978499,0.448864463559155,2.40614228720049,0.411188227988733,0.445741208752698,0.854788564814003,-1.99495405921175,-1.96040107844779,-1.55135372238648,0.0345529807639644,0.443600336825269,0.409047356061305,0.0403913064319457,5.77598779483471e-09,0.977322855818827,0.82988164745648,0.0252880071491205,3.74033413943298e-10,0.0381674508986871,0.0261761229633736,0.00023239833914156,6.00149537587846e-09,7.73189860377751e-09,2.05987892599776e-07,0.85206733636891,0.026801812774477,0.0390578011874053,0.0596296036263939,3.9145036454113e-08,0.980696812743403,0.851694935169145,0.0382168842877523,4.34876182611408e-09,0.114667544043068,0.0938493735639855,0.00158734740259614,5.26842681318727e-08,7.35514427181162e-08,3.26181463288926e-06,0.997277357167134,0.0565431792080901,0.0785359015420848,4.93655043879998e-07,2.02414043070545e-06,12.3212641467641,14.3214823327097,12.326528273498,12.3610812542619,12.7701286103233,11.9153400455092,12.399863092375,12.2260263579125,12.3379029900048,12.0946273242059,11.6581287935402,11.9932640187816,14.1382688141617,14.802125957657,14.0240522263106,12.4624661864164,12.4157864484695,12.101332185608,12.2384325129082,12.3676422870976,12.4771689627801,13.0128792928736,12.6551200704865,12.6423864676097,1,"mitochondria"
"AASDHPPT",0.656767603521181,0.56350335867774,0.305761070271739,0.320356098712857,1.27620359012306,-0.0932642448434404,-0.351006533249442,-0.336411504808324,0.61943598660188,-0.257742288406001,-0.243147259964883,0.71270023144532,0.014595028441118,0.970442519851321,0.955847491410203,0.0583618076232663,0.0995320381652824,0.357219066236912,0.335346797518906,0.00108925280795251,0.776233347999398,0.292533043092982,0.312395359875381,0.0725331762358535,0.435958566072539,0.461924747457293,0.0417935936333121,0.964478359524783,0.00818569948374931,0.00900240807040094,0.0826160653368315,0.126334697642105,0.406882617558559,0.394454686290224,0.00222095506282446,0.83339256421796,0.451484625800143,0.485990191896188,0.156170196734973,0.533777305608759,0.555328648597554,0.0848851249570997,0.999181590577398,0.0209119041498908,0.0235267727394294,0.064770316153016,0.0711331431806422,10.9218992578978,11.4854026165755,11.2276603281695,11.2422553566106,12.1981028480208,11.578666861419,10.6603997163648,10.915842974954,11.1894550823744,11.3792379510355,12.0021212585355,11.3546413746858,10.925097957573,11.5166044880736,12.0145054040799,10.9910986899043,11.353499419672,11.3383828749322,11.5577977218985,10.8252576829034,11.3437106650299,12.892524593278,11.4532609688899,12.2485229818946,0,"Cytosol"
"ABCA13",-1.88676909023699,-1.44222505126905,-1.47350434474095,-1.39146164153082,-2.19690161353488,0.444544038967936,0.413264745496039,0.49530744870617,-0.310132523297887,-0.0312792934718973,0.0507634097382337,-0.754676562265823,0.082042703210131,-0.723397268793926,-0.805439972004057,5.29801504456195e-06,0.000109308573873175,8.74562726877962e-05,0.000157432060130837,7.77847799926945e-07,0.138461231121146,0.166514634607545,0.101447117822483,0.292965476091489,0.914069663330773,0.861024107340981,0.0174245795318222,0.777385894642879,0.0217994321946275,0.0120597245729187,1.9548106285718e-05,0.000242537090120633,0.000246352076839632,0.000463264644884443,3.52660285027537e-06,0.203377080636114,0.304404111903101,0.229572370435655,0.445062535107628,0.937360344677892,0.895482042209448,0.0414011807949563,0.997277357167134,0.0474755372320888,0.0301924450552413,8.1413762163237e-05,0.000151586023926974,15.3007101653547,13.8584851140857,13.8272058206138,13.9092485238239,13.1038085518199,13.4139410751177,15.6243590750776,15.5941422686498,14.6836291523366,13.6748765746916,13.2120453840936,13.3549012665679,14.4326737656145,13.3777701068629,13.7650114697796,13.9280519673622,13.6354017827647,13.9181637117144,14.0581291210586,13.8419361977869,13.8276802526261,13.1454845973274,13.1567978539869,13.0091432041452,1,NA
"ABCB1",0.821784123035802,0.668392296635591,0.943457095723175,0.804433357460823,1.14533877087348,-0.153391826400211,0.121672972687373,-0.0173507655749792,0.323554647837676,0.275064799087584,0.136041060825232,0.476946474237887,-0.139023738262352,0.201881675150303,0.340905413412655,3.30225032975591e-09,6.34318260959862e-08,4.2443305550456e-10,4.51195916781778e-09,2.20175300904663e-11,0.0489314457778875,0.110507835551383,0.81285918906628,0.000353097595154725,0.00146825657697415,0.07708590717207,5.26433993549482e-06,0.0713947449667964,0.0126369163614194,0.000213707626132264,2.63374599470776e-08,3.12772108346694e-07,4.09711023321007e-09,4.07009833896942e-08,3.34027126574953e-10,0.0829583034056732,0.230747258600397,0.892337238186063,0.00221511584874044,0.00363383084708077,0.122364522549839,4.50049453308969e-05,0.80759289927651,0.0302212405766069,0.00116535437566068,3.73637752086893e-08,3.00749649064404e-07,13.0813514240751,13.7497437207107,14.0248085197983,13.8857847815359,14.2266901949486,13.9031355471109,13.1508209937983,13.0617214901711,13.0315117882559,13.9599630137735,13.8633339550952,13.886109672464,13.7442240089774,13.903666029722,13.6013411234327,13.9413259811712,14.007206153127,14.1258934250966,13.8952013132782,13.8783985121799,13.8837545191496,14.140282597934,14.3004070592386,14.2393809276731,2,"recycling_endosome"
"ABCB6",0.317672029486886,2.06880647387898,1.64079720508071,1.36781929378302,0.960503169367646,1.75113444439209,1.32312517559382,1.05014726429614,0.64283113988076,-0.428009268798271,-0.700987180095955,-1.10830330451133,-0.272977911297685,-0.680294035713062,-0.407316124415377,0.13619834685096,1.63032869366815e-08,4.0087567390085e-07,4.12020914071591e-06,0.000208867870182901,1.6706387754144e-07,6.175952408544e-06,8.43067756782762e-05,0.00578475435197522,0.0504255358446997,0.00314157540213874,4.73666680386454e-05,0.19643834176116,0.00390552067584509,0.0612655237692587,0.176645947130446,9.39414066659885e-08,1.94201993134189e-06,1.79044304187921e-05,0.000504522944042908,8.55262433754224e-07,0.000153869442864296,0.00169651173211054,0.0212540974505157,0.0863246235302666,0.00726003644169165,0.000277206272011401,0.886881585818142,0.0114667139034913,0.113828558366748,4.5337457997783e-06,1.25372928247569e-05,12.0189531778302,14.0877596517091,13.6597503829109,13.3867724716132,12.9794563471978,12.336625207317,11.9040094041752,12.0931144889253,12.0597356403899,12.028619355639,12.5493096495423,12.4319466167698,14.2188131607248,14.3318957800401,13.7125700143625,13.4443621330989,13.8506006026993,13.6842884129344,13.4398090413458,13.2208572767531,13.4996510967407,13.27873620357,12.5043769984456,13.1552558395779,1,NA
"ABCC5",1.32851595266251,0.206798297018357,1.60430414405502,1.32946158109361,1.03604116579605,-1.12171765564415,0.275788191392505,0.000945628431094914,-0.292474786866459,1.39750584703666,1.12266328407525,0.829242868777695,-0.27484256296141,-0.568262978258965,-0.293420415297554,8.10264270004205e-11,0.156074816636587,6.54921958791644e-13,7.9632449150454e-11,2.26398473986403e-08,4.12607015714778e-09,0.0614668838807262,0.994745114569977,0.0480427651931221,2.31925285629621e-11,4.05018385495916e-09,1.57605021194918e-06,0.0623166149480082,0.000343236693905247,0.0473656143456394,9.81320060338426e-10,0.19083089311493,1.27856406283503e-11,1.17297627357022e-09,1.57097720941228e-07,3.33141960836376e-08,0.154316092353148,0.997563048752169,0.114383162235401,4.48474093455765e-10,4.29363929647205e-08,1.63609022002343e-05,0.78260016050724,0.00155886665148633,0.0919202130031104,1.6611376520741e-07,8.88657688716942e-07,12.4340250102062,12.6408233072245,14.0383291542612,13.7634865912998,13.4700661760022,13.7625409628687,12.3827631607075,12.3975769360382,12.5217349338727,13.8053163102013,13.6117906619672,13.8705159164374,12.7025438853639,12.7380684052668,12.4818576310428,13.8144472360862,14.1609844079372,14.1395558187601,13.6949834532051,13.7903373006315,13.8051390200627,13.170996817205,13.7303191515522,13.5088825592494,2,"early_endosome"
"ABCD3",-0.784866814079235,1.10011440245592,-0.227835827383458,-0.081475092686628,-0.219323390043635,1.88498121653516,0.557030986695777,0.703391721392607,0.5655434240356,-1.32795022983938,-1.18158949514255,-1.31943779249956,0.14636073469683,0.00851243733982335,-0.137848297357007,0.00133939218876495,5.34774848843359e-05,0.278990224180791,0.694033436977185,0.296710900928561,6.38715970481111e-08,0.0143675787923789,0.00314948874647015,0.0131737817645099,6.18543836460808e-06,2.42588865499936e-05,6.68424670330287e-06,0.482103031018822,0.967137043831122,0.507577632178922,0.00283712547838794,0.000126147069844385,0.325966246742719,0.730830001452811,0.351537915230578,3.56576073940132e-07,0.0582722265439741,0.0224497617459561,0.0419253200680755,2.54020514314203e-05,8.74570322132004e-05,5.48150137173678e-05,0.997277357167134,0.972340702022374,0.608256108923527,5.00371920903413e-05,0.00010030444023627,12.8247420488345,13.9248564512903,12.596906221451,12.7432669561478,12.6054186587908,12.0398752347552,13.0886406104946,12.4857897719291,12.8997957640798,11.8094306277969,12.2078217840349,12.1023732924338,13.838037408558,14.1045289160691,13.832003029244,12.596176961461,12.4890931650415,12.7054485378505,12.7385265935731,12.9754755656818,12.5157987091885,12.7862641559873,12.1071331914164,12.9228586289687,1,"peroxisome"
"ABCE1",-0.529950337024459,-0.605332795316463,-0.540687355663642,-0.523083050430623,-0.652160502676229,-0.0753824582920046,-0.0107370186391827,0.00686728659383617,-0.12221016565177,0.0646454396528219,0.0822497448858408,-0.0468277073597652,0.0176043052330189,-0.111473147012587,-0.129077452245606,0.000191817264165747,4.814631045992e-05,0.000157041407257403,0.000218105279469935,2.09889127365761e-05,0.506113936312583,0.924037498633437,0.951367602095233,0.286332472802461,0.567841384988377,0.468740946346696,0.678295395071568,0.875799700107814,0.329370989021762,0.261069905675738,0.000488002274243254,0.000114604866390492,0.000412470202194143,0.000608925732223425,6.49786931584415e-05,0.595321068971995,0.95192830656903,0.974844358433658,0.437782436499847,0.655837996966709,0.560945249607941,0.761227264481863,0.997277357167134,0.420925504289658,0.365023449090182,0.000140985087281018,0.00024703080263037,14.5712772462204,13.965944450904,14.0305898905568,14.0481941957898,13.9191167435442,14.041326909196,14.5493581208638,14.5048119040225,14.6596617137749,13.9262718085089,13.9973393167811,14.2003696022979,14.0736142745269,13.7946245168599,14.0295945613251,14.1077670199555,14.0682572533425,13.9157453983724,14.104545506131,14.0397534389927,14.0002836422458,14.0506887634305,13.8304290445571,13.8762324226451,1,"unclassified"
