 ,Group,Label,signal,total,area,mean,median_background,ROI_x,ROI_y,ROI_w,ROI_h,,average,SD
64,IP6,CPD-20,13470157,19015117,3072,6189.817,1805,836,582,64,48,,,
65,IP6,CPD-20,6845490,11235378,3072,3657.35,1429,841,1067,64,48,,,
66,IP6,CPD-20,7559362,11113666,3072,3617.73,1157,841,1480,64,48,,,
67,IP6,CPD-40,10714885,15239941,3072,4960.918,1473,898,586,64,48,,,
68,IP6,CPD-40,14771632,20221360,3072,6582.474,1774,905,1078,64,48,,,
69,IP6,CPD-40,7971535,11206351,3072,3647.901,1053,903,1486,64,48,,,
70,IP6,CPD-60,10759186,15124498,3072,4923.339,1421,960,590,64,48,,,
71,IP6,CPD-60,18723929,24053849,3072,7830.029,1735,972,1087,64,48,,,
72,IP6,CPD-60,8672535,11950359,3072,3890.091,1067,965,1487,64,48,,,
73,IP6,CPD-80,14198080,19002688,3072,6185.771,1564,1025,592,64,48,,,
74,IP6,CPD-80,16074555,21020475,3072,6842.603,1610,1041,1090,64,48,,,
75,IP6,CPD-80,10189111,13546807,3072,4409.768,1093,1025,1492,64,48,,,
76,1486WT,CPD-0,3857348,8585156,3072,2794.647,1539,1090,591,64,48,,,
77,1486WT,CPD-0,5731391,10880063,3072,3541.687,1676,1106,1092,64,48,,,
78,1486WT,CPD-0,3570003,7145811,3072,2326.11,1164,1087,1492,64,48,,,
79,1486WT,CPD-20,7783555,12901507,3072,4199.709,1666,1154,592,64,48,,,
80,1486WT,CPD-20,8368217,13965401,3072,4546.029,1822,1173,1091,64,48,,,
81,1486WT,CPD-20,8528587,12602059,3072,4102.233,1326,1154,1494,64,48,,,
82,1486WT,CPD-40,10765831,16117255,3072,5246.502,1742,1219,589,64,48,,,
83,1486WT,CPD-40,10338861,16203309,3072,5274.515,1909,1236,1090,64,48,,,
84,1486WT,CPD-40,9983965,14045149,3072,4571.989,1322,1220,1495,64,48,,,
85,1486WT,CPD-60,12458331,17693019,3072,5759.446,1704,1282,591,64,48,,,
86,1486WT,CPD-60,12257520,18143472,3072,5906.078,1916,1299,1083,64,48,,,
87,1486WT,CPD-60,11932302,16420494,3072,5345.213,1461,1284,1488,64,48,,,
88,1486WT,CPD-80,10895195,16086875,3072,5236.613,1690,1345,587,64,48,,,
89,1486WT,CPD-80,13261634,19123010,3072,6224.938,1908,1360,1079,64,48,,,
90,1486WT,CPD-80,12273640,16460776,3072,5358.326,1363,1349,1491,64,48,,,
91,1486IP6,CPD-0,4415917,12040621,3072,3919.473,2482,1412,591,64,48,,,
92,1486IP6,CPD-0,4673181,10589853,3072,3447.218,1926,1425,1074,64,48,,,
93,1486IP6,CPD-0,5377976,9724856,3072,3165.643,1415,1413,1497,64,48,,,
94,1486IP6,CPD-20,5957141,15867413,3072,5165.174,3226,1474,596,64,48,,,
95,1486IP6,CPD-20,4963546,11046106,3072,3595.738,1980,1485,1069,64,48,,,
96,1486IP6,CPD-20,6606731,11491211,3072,3740.629,1590,1480,1493,64,48,,,
97,1486IP6,CPD-40,6039561,11885577,3072,3869.003,1903,1539,592,64,48,,,
98,1486IP6,CPD-40,5713081,11276473,3072,3670.727,1811,1548,1067,64,48,,,
99,1486IP6,CPD-40,6602873,11232377,3072,3656.373,1507,1545,1496,64,48,,,
100,1486IP6,CPD-60,6801550,12073102,3072,3930.046,1716,1606,597,64,48,,,
101,1486IP6,CPD-60,6510526,12052414,3072,3923.312,1804,1609,1069,64,48,,,
102,1486IP6,CPD-60,7924283,12258875,3072,3990.519,1411,1608,1502,64,48,,,
103,1486IP6,CPD-80,7110606,12286926,3072,3999.65,1685,1668,599,64,48,,,
104,1486IP6,CPD-80,6151913,11202281,3072,3646.576,1644,1676,1073,64,48,,,
105,1486IP6,CPD-80,6824853,10959765,3072,3567.632,1346,1676,1501,64,48,,,
106,1486IP6+IP6,CPD-0,5345750,10310102,3072,3356.153,1616,1727,599,64,48,,,
107,1486IP6+IP6,CPD-0,4976139,10032651,3072,3265.837,1646,1738,1075,64,48,,,
108,1486IP6+IP6,CPD-0,5215098,9294714,3072,3025.623,1328,1737,1504,64,48,,,
109,1486IP6+IP6,CPD-20,10936450,15894658,3072,5174.042,1614,1786,602,64,48,,,
110,1486IP6+IP6,CPD-20,10573492,16886452,3072,5496.892,2055,1799,1070,64,48,,,
111,1486IP6+IP6,CPD-20,10475973,14712261,3072,4789.147,1379,1803,1502,64,48,,,
112,1486IP6+IP6,CPD-40,15562928,20330672,3072,6618.057,1552,1849,604,64,48,,,
113,1486IP6+IP6,CPD-40,14777713,20497777,3072,6672.453,1862,1862,1065,64,48,,,
114,1486IP6+IP6,CPD-40,13271838,17428254,3072,5673.26,1353,1863,1500,64,48,,,
115,1486IP6+IP6,CPD-60,17141632,21847936,3072,7111.958,1532,1914,603,64,48,,,
116,1486IP6+IP6,CPD-60,16818010,22479706,3072,7317.613,1843,1923,1057,64,48,,,
117,1486IP6+IP6,CPD-60,15569137,19522801,3072,6355.078,1287,1926,1500,64,48,,,
118,1486IP6+IP6,CPD-80,17764288,22550464,3072,7340.646,1558,1980,599,64,48,,,
119,1486IP6+IP6,CPD-80,20745912,26601144,3072,8659.227,1906,1987,1046,64,48,,,
120,1486IP6+IP6,CPD-80,15264679,19163047,3072,6237.971,1269,1988,1494,64,48,,,
