"FrameId","VesicleId","MovieName","IntCh0","IntCh1","xCoord","yCoord","radius","bg0","bg1","Net0","Net1","Norm0","Norm1","rad_mean","rad_sd","rad_cv"
12,1006,"2ch_IP6_001_pos003.tif",172.43,2751.39,438,879,100.65,146,159,26.43,2592.39,1.01849710982659,0.693545539182638,100.455882352941,1.18187911196286,0.011765155850311
13,1006,"2ch_IP6_001_pos003.tif",172.88,2857.54,439,879,100.65,145,145,27.88,2712.54,1.07437379576108,0.725689428232046,100.455882352941,1.18187911196286,0.011765155850311
14,1006,"2ch_IP6_001_pos003.tif",189.46,3713.44,439,879,101.2,151,141,38.46,3572.44,1.48208092485549,0.955739617109163,100.455882352941,1.18187911196286,0.011765155850311
15,1006,"2ch_IP6_001_pos003.tif",192.85,4621.95,440,879,101.2,154,147,38.85,4474.95,1.4971098265896,1.19718931586889,100.455882352941,1.18187911196286,0.011765155850311
16,1006,"2ch_IP6_001_pos003.tif",194.98,4649.61,439,878,99,156,277,38.98,4372.61,1.50211946050096,1.16981015976971,100.455882352941,1.18187911196286,0.011765155850311
0,1012,"2ch_IP6_001_pos004.tif",159.9,3857.14,300,922,102.85,136,157,23.9,3700.14,1,1,100.488235294118,1.6241853161436,0.0161629399838677
1,1012,"2ch_IP6_001_pos004.tif",155.44,3042.64,299,924,101.75,135,151,20.44,2891.64,0.855230125523012,0.781494754252542,100.488235294118,1.6241853161436,0.0161629399838677
2,1012,"2ch_IP6_001_pos004.tif",146.16,2178.44,296,923,101.75,134,146,12.16,2032.44,0.508786610878661,0.549287324263406,100.488235294118,1.6241853161436,0.0161629399838677
3,1012,"2ch_IP6_001_pos004.tif",164.28,4361.13,301,920,96.8,137,139,27.28,4222.13,1.14142259414226,1.14107304047955,100.488235294118,1.6241853161436,0.0161629399838677
4,1012,"2ch_IP6_001_pos004.tif",167.2,4432.46,296,922,100.65,140,141,27.2,4291.46,1.13807531380753,1.15981016934494,100.488235294118,1.6241853161436,0.0161629399838677
5,1012,"2ch_IP6_001_pos004.tif",169.56,4279.47,296,924,100.65,142,141,27.56,4138.47,1.15313807531381,1.11846308518056,100.488235294118,1.6241853161436,0.0161629399838677
6,1012,"2ch_IP6_001_pos004.tif",170.13,4484.81,295,922,99.55,143,143,27.13,4341.81,1.13514644351464,1.17341776257115,100.488235294118,1.6241853161436,0.0161629399838677
7,1012,"2ch_IP6_001_pos004.tif",171.34,4412.6,294,921,99.55,144,162,27.34,4250.6,1.14393305439331,1.14876734393834,100.488235294118,1.6241853161436,0.0161629399838677
8,1012,"2ch_IP6_001_pos004.tif",171.02,4052.1,292,922,100.1,143,161,28.02,3891.1,1.17238493723849,1.05160885804321,100.488235294118,1.6241853161436,0.0161629399838677
9,1012,"2ch_IP6_001_pos004.tif",168.4,3875.84,295,926,96.8,143,153,25.4,3722.84,1.06276150627615,1.00613490300367,100.488235294118,1.6241853161436,0.0161629399838677
10,1012,"2ch_IP6_001_pos004.tif",175.36,3827.17,295,924,101.75,144,163,31.36,3664.17,1.31213389121339,0.990278746209603,100.488235294118,1.6241853161436,0.0161629399838677
11,1012,"2ch_IP6_001_pos004.tif",178.72,3868.41,291,919,101.2,145,161,33.72,3707.41,1.41087866108787,1.00196479052144,100.488235294118,1.6241853161436,0.0161629399838677
12,1012,"2ch_IP6_001_pos004.tif",176.23,3784.8,295,922,100.65,143,177,33.23,3607.8,1.39037656903766,0.975044187517229,100.488235294118,1.6241853161436,0.0161629399838677
