"FrameId","VesicleId","MovieName","IntCh0","IntCh1","xCoord","yCoord","radius","bg0","bg1","Net0","Net1","Norm0","Norm1","rad_mean","rad_sd","rad_cv"
12,1502,"2ch_WT_001_pos001.tif",215.82,4644.57,431,568,90.2,115,135.7,100.82,4508.87,1.71783949565514,1.05987066807391,91.2352941176471,0.579537721454122,0.00635212202754357
13,1502,"2ch_WT_001_pos001.tif",225.8,4277.62,432,565,91.3,115,136,110.8,4141.62,1.88788550008519,0.973543605450652,91.2352941176471,0.579537721454122,0.00635212202754357
14,1502,"2ch_WT_001_pos001.tif",223.67,4192.46,432,565,91.3,115,136,108.67,4056.46,1.85159311637417,0.953525599588169,91.2352941176471,0.579537721454122,0.00635212202754357
15,1502,"2ch_WT_001_pos001.tif",232.71,4271.05,432,564,91.3,115,134,117.71,4137.05,2.00562276367354,0.972469365352113,91.2352941176471,0.579537721454122,0.00635212202754357
16,1502,"2ch_WT_001_pos001.tif",244.9,4146.99,432,564,91.3,116,133,128.9,4013.99,2.1962855682399,0.943542453639605,91.2352941176471,0.579537721454122,0.00635212202754357
0,1507,"2ch_WT_001_pos002.tif",213.19,6181.21,892,920,81.95,110,208,103.19,5973.21,1,1,81.7882352941177,0.607641293179182,0.00742944619105732
1,1507,"2ch_WT_001_pos002.tif",214.45,6158.42,892,918,81.95,110,179,104.45,5979.42,1.01221048551216,1.00103964200154,81.7882352941177,0.607641293179182,0.00742944619105732
2,1507,"2ch_WT_001_pos002.tif",215.12,6056.01,892,914,82.5,110,163,105.12,5893.01,1.01870336272895,0.986573383490619,81.7882352941177,0.607641293179182,0.00742944619105732
3,1507,"2ch_WT_001_pos002.tif",216.36,6035.75,892,913,83.6,111,161,105.36,5874.75,1.02102916949317,0.983516400729256,81.7882352941177,0.607641293179182,0.00742944619105732
4,1507,"2ch_WT_001_pos002.tif",225.7,6266.24,895,906,80.85,111,181,114.7,6085.24,1.11154181606745,1.0187554095704,81.7882352941177,0.607641293179182,0.00742944619105732
5,1507,"2ch_WT_001_pos002.tif",232.15,6188.91,899,906,81.4,111,168,121.15,6020.91,1.1740478728559,1.00798565595383,81.7882352941177,0.607641293179182,0.00742944619105732
6,1507,"2ch_WT_001_pos002.tif",226.18,6062.36,898,904,81.95,111,181,115.18,5881.36,1.11619342959589,0.984623008399169,81.7882352941177,0.607641293179182,0.00742944619105732
7,1507,"2ch_WT_001_pos002.tif",233.69,6128.6,898,904,81.95,112,177,121.69,5951.6,1.17928093807539,0.996382179765989,81.7882352941177,0.607641293179182,0.00742944619105732
8,1507,"2ch_WT_001_pos002.tif",235.99,6140.21,899,901,81.4,112,183,123.99,5957.21,1.20156991956585,0.997321373264961,81.7882352941177,0.607641293179182,0.00742944619105732
9,1507,"2ch_WT_001_pos002.tif",240.83,6150.31,899,900,81.4,113,185,127.83,5965.31,1.23878282779339,0.998677428049575,81.7882352941177,0.607641293179182,0.00742944619105732
10,1507,"2ch_WT_001_pos002.tif",240.3,6134.27,899,899,81.95,112,172,128.3,5962.27,1.24333753270666,0.998168488969917,81.7882352941177,0.607641293179182,0.00742944619105732
11,1507,"2ch_WT_001_pos002.tif",245.58,6145.12,900,898,81.4,112,166,133.58,5979.12,1.29450528151953,1.00098941775025,81.7882352941177,0.607641293179182,0.00742944619105732
12,1507,"2ch_WT_001_pos002.tif",257.18,6116.01,899,899,81.95,113,173,144.18,5943.01,1.39722841360597,0.994944092037615,81.7882352941177,0.607641293179182,0.00742944619105732
13,1507,"2ch_WT_001_pos002.tif",264.77,6186.2,900,897,81.4,113,169,151.77,6017.2,1.47078205252447,1.00736454937965,81.7882352941177,0.607641293179182,0.00742944619105732
14,1507,"2ch_WT_001_pos002.tif",272.97,6172.3,900,898,81.4,113,167,159.97,6005.3,1.5502471169687,1.00537232074546,81.7882352941177,0.607641293179182,0.00742944619105732
15,1507,"2ch_WT_001_pos002.tif",279.51,6123.14,900,895,81.4,113,164,166.51,5959.14,1.61362535129373,0.997644482614875,81.7882352941177,0.607641293179182,0.00742944619105732
16,1507,"2ch_WT_001_pos002.tif",295.7,6194.32,900,894,81.95,116,164,179.7,6030.32,1.74144781471073,1.00956102330238,81.7882352941177,0.607641293179182,0.00742944619105732
0,1509,"2ch_WT_001_pos002.tif",272.21,4057.6,505,585,73.7,110,208,162.21,3849.6,1,1,71.6617647058823,0.607641293179183,0.00847929569796521
1,1509,"2ch_WT_001_pos002.tif",287.37,4507.87,505,585,71.5,110,179,177.37,4328.87,1.09345909623328,1.12449864921031,71.6617647058823,0.607641293179183,0.00847929569796521
2,1509,"2ch_WT_001_pos002.tif",290.22,4537.56,505,579,71.5,110,163,180.22,4374.56,1.11102891313729,1.13636741479634,71.6617647058823,0.607641293179183,0.00847929569796521
3,1509,"2ch_WT_001_pos002.tif",290.37,4527.27,505,578,71.5,111,161,179.37,4366.27,1.10578879230627,1.1342139443059,71.6617647058823,0.607641293179183,0.00847929569796521
4,1509,"2ch_WT_001_pos002.tif",290.09,4286.09,505,580,72.05,111,181,179.09,4105.09,1.10406263485605,1.06636793433084,71.6617647058823,0.607641293179183,0.00847929569796521
5,1509,"2ch_WT_001_pos002.tif",287.29,4278.14,505,580,72.05,111,168,176.29,4110.14,1.08680106035386,1.06767975893599,71.6617647058823,0.607641293179183,0.00847929569796521
6,1509,"2ch_WT_001_pos002.tif",288.79,4341.05,505,579,72.05,111,181,177.79,4160.05,1.09604833240861,1.08064474231089,71.6617647058823,0.607641293179183,0.00847929569796521
7,1509,"2ch_WT_001_pos002.tif",299.64,4540.24,506,578,71.5,112,177,187.64,4363.24,1.15677208556809,1.13342684954281,71.6617647058823,0.607641293179183,0.00847929569796521
8,1509,"2ch_WT_001_pos002.tif",296.17,4573.95,506,575,71.5,112,183,184.17,4390.95,1.13538006288145,1.140625,71.6617647058823,0.607641293179183,0.00847929569796521
9,1509,"2ch_WT_001_pos002.tif",304.18,4571.4,506,573,71.5,113,185,191.18,4386.4,1.17859564761729,1.13944305901912,71.6617647058823,0.607641293179183,0.00847929569796521
10,1509,"2ch_WT_001_pos002.tif",311.67,4576.14,507,573,71.5,112,172,199.67,4404.14,1.23093520744714,1.14405133000831,71.6617647058823,0.607641293179183,0.00847929569796521
11,1509,"2ch_WT_001_pos002.tif",319.23,4561.96,507,572,71.5,112,166,207.23,4395.96,1.27754145860305,1.14192643391521,71.6617647058823,0.607641293179183,0.00847929569796521
12,1509,"2ch_WT_001_pos002.tif",322.79,4531.78,507,572,71.5,113,173,209.79,4358.78,1.29332346957648,1.1322682876143,71.6617647058823,0.607641293179183,0.00847929569796521
13,1509,"2ch_WT_001_pos002.tif",326.15,4531.48,507,570,71.5,113,169,213.15,4362.48,1.3140373589791,1.13322942643392,71.6617647058823,0.607641293179183,0.00847929569796521
14,1509,"2ch_WT_001_pos002.tif",331.34,4525.42,507,571,71.5,113,167,218.34,4358.42,1.34603292028851,1.13217477140482,71.6617647058823,0.607641293179183,0.00847929569796521
15,1509,"2ch_WT_001_pos002.tif",352.67,4669.65,507,570,70.95,113,164,239.67,4505.65,1.47752912890697,1.17042030340815,71.6617647058823,0.607641293179183,0.00847929569796521
16,1509,"2ch_WT_001_pos002.tif",355.5,4669.16,507,568,70.95,116,164,239.5,4505.16,1.47648110474077,1.17029301745636,71.6617647058823,0.607641293179183,0.00847929569796521
0,1518,"2ch_WT_001_pos003.tif",185.12,1838.5,332,719,108.35,108,156,77.12,1682.5,1,1,113.397058823529,1.65269387934473,0.0145743981060098
1,1518,"2ch_WT_001_pos003.tif",303.15,4042.59,357,717,114.4,107,148,196.15,3894.59,2.5434387966805,2.31476374442793,113.397058823529,1.65269387934473,0.0145743981060098
2,1518,"2ch_WT_001_pos003.tif",292.1,3766.88,356,715,115.5,108,164,184.1,3602.88,2.3871887966805,2.14138484398217,113.397058823529,1.65269387934473,0.0145743981060098
3,1518,"2ch_WT_001_pos003.tif",306.01,4041.76,355,714,114.95,108,156,198.01,3885.76,2.56755705394191,2.30951560178306,113.397058823529,1.65269387934473,0.0145743981060098
4,1518,"2ch_WT_001_pos003.tif",352.17,4713.82,356,713,112.75,108,143,244.17,4570.82,3.16610477178423,2.71668350668648,113.397058823529,1.65269387934473,0.0145743981060098
5,1518,"2ch_WT_001_pos003.tif",342.7,4785.91,354,713,113.3,108,140,234.7,4645.91,3.04330912863071,2.76131352154532,113.397058823529,1.65269387934473,0.0145743981060098
6,1518,"2ch_WT_001_pos003.tif",359.55,4591.58,354,711,111.65,108,137,251.55,4454.58,3.26179979253112,2.64759583952452,113.397058823529,1.65269387934473,0.0145743981060098
7,1518,"2ch_WT_001_pos003.tif",342.62,4523.82,358,711,112.2,108,136,234.62,4387.82,3.04227178423237,2.60791679049034,113.397058823529,1.65269387934473,0.0145743981060098
8,1518,"2ch_WT_001_pos003.tif",325.66,4362.93,357,710,113.3,109,138,216.66,4224.93,2.80938796680498,2.51110252600297,113.397058823529,1.65269387934473,0.0145743981060098
