Image A,Image B,ROI,Auto Threshold A,Auto Threshold B,Using Stack Histogram,Pearson's Coefficient,Spearman's Rank Coefficient,M1,M2,Threshold A,Threshold B,Thresholded M1,Thresholded M2,Overlap Coefficient,k1,k2,Thresholded Overlap Coefficient,Thresholded k1,Thresholded k2,ICQ,Area tot,Area A,Area B,Area Overlap,Timepoint,ColocSourceFile,SampleID,Group,Image,Area,Ch2_Mean,Ch2_IntDen,Ch2_Min,Ch2_Max,Ch2_StdDev,Ch3_Mean,Ch3_IntDen,Ch3_Min,Ch3_Max,Ch3_StdDev,IntensitySourceFile
C2-B2_002_MIP.tif T1,C3-B2_002_MIP.tif T1,3f40f47a-73f5-11f1-80a3-acde48001122,Otsu,Otsu,FALSE,0.665,0.49,1,1,13641,8095,0.745,0.487,0.682,0.439,1.059,0.777,0.679,0.889,0.5,698.111,17.393,33.307,12.323,1,B2_002_MIP_colocalisation.csv,B2_002_MIP,B2_,B2_002_MIP.tif,698.111,5233.096,3653281.48,359,62116,3718.717,1900.156,1326519.408,160,64505,3667.547,B2_002_MIP_intensity.csv
C2-B2_003_MIP.tif T1,C3-B2_003_MIP.tif T1,63fd1316-73f5-11f1-80a3-acde48001122,Otsu,Otsu,FALSE,0.589,0.352,1,1,7871,3873,0.657,0.394,0.712,0.4,1.27,0.878,0.572,1.348,0.5,497.2,14.342,28.894,8.99,1,B2_003_MIP_colocalisation.csv,B2_003_MIP,B2_,B2_003_MIP.tif,497.2,2905.302,1444517.385,295,37872,2260.002,1048.624,521376.081,148,20573,1778.88,B2_003_MIP_intensity.csv
C2-B2_004_MIP.tif T1,C3-B2_004_MIP.tif T1,6ec4f746-73f5-11f1-80a3-acde48001122,Otsu,Otsu,FALSE,0.676,0.406,1,1,7974,5171,0.795,0.42,0.764,0.637,0.916,0.88,0.654,1.185,0.5,824.826,19.588,41.323,14.576,1,B2_004_MIP_colocalisation.csv,B2_004_MIP,B2_,B2_004_MIP.tif,824.826,2078.896,1714726.734,191,41497,2298.975,1256.204,1036149.063,148,31397,2260.052,B2_004_MIP_intensity.csv
C2-B2_005_MIP.tif T1,C3-B2_005_MIP.tif T1,9e3f2b22-73f5-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.644,0.372,1,1,10131,8325,0.921,0.332,0.715,0.754,0.678,0.887,1.139,0.69,0.5,774.771,11.818,45.747,10.609,1,B2_005_MIP_colocalisation.csv,B2_005_MIP,B2_,B2_005_MIP.tif,774.771,3719.791,2881986.637,218,50653,2263.118,2285.142,1770462.303,163,60650,3983.582,B2_005_MIP_intensity.csv
C2-B2_006_MIP.tif T1,C3-B2_006_MIP.tif T1,aaca19ec-73f5-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.63,0.33,1,1,12593,4900,0.684,0.437,0.706,0.304,1.638,0.859,0.412,1.79,0.498,2039.584,32.779,58.61,20.632,1,B2_006_MIP_colocalisation.csv,B2_006_MIP,B2_,B2_006_MIP.tif,2039.584,3299.195,6728984.6,190,65535,3137.434,849.674,1732981.352,137,36747,1767.636,B2_006_MIP_intensity.csv
C2-B2_007_MIP.tif T1,C3-B2_007_MIP.tif T1,b3df8e04-73f5-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.615,0.307,1,1,6861,6088,0.915,0.303,0.714,0.828,0.617,0.905,1.163,0.704,0.5,823.758,10.504,43.447,9.272,1,B2_007_MIP_colocalisation.csv,B2_007_MIP,B2_,B2_007_MIP.tif,823.758,2229.236,1836350.231,183,37223,1554.744,1571.416,1294465.611,156,41957,2727.642,B2_007_MIP_intensity.csv
C2-B2_009_MIP.tif T1,C3-B2_009_MIP.tif T1,cfd28cec-73f5-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.728,0.419,1,1,15163,15163,0.815,0.514,0.595,0.662,0.535,0.567,0.688,0.467,0.5,906.779,8.673,15.586,6.654,1,B2_009_MIP_colocalisation.csv,B2_009_MIP,B2_,B2_009_MIP.tif,906.779,2901.66,2631164.242,174,65535,3022.998,1711.658,1552095.256,153,65535,4334.574,B2_009_MIP_intensity.csv
C2-B2_009_MIP.tif T1,C3-B2_009_MIP.tif T1,cfd295d4-73f5-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.617,0.248,1,1,8092,4843,0.671,0.526,0.714,0.414,1.23,0.874,0.651,1.173,0.5,1108.851,31.148,44.703,19.083,1,B2_009_MIP_colocalisation.csv,B2_009_MIP,B2_,B2_009_MIP.tif,1108.851,3102.146,3439819.095,190,51587,2374.61,1104.038,1224213.833,148,41164,1980.755,B2_009_MIP_intensity.csv
C2-B2_009_MIP.tif T1,C3-B2_009_MIP.tif T1,cfd299c6-73f5-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.742,0.341,1,1,11090,9083,0.728,0.676,0.751,0.54,1.045,0.924,0.905,0.943,0.5,555.318,17.334,19.693,11.525,1,B2_009_MIP_colocalisation.csv,B2_009_MIP,B2_,B2_009_MIP.tif,555.318,4306,2391197.304,237,54385,3241.463,1698.698,943317.088,172,50354,3482.121,B2_009_MIP_intensity.csv
C2-B2_009_MIP.tif T1,C3-B2_009_MIP.tif T1,cfd29cdc-73f5-11f1-b15e-acde48001122,Otsu,Otsu,FALSE,0.647,0.646,1,1,7822,5429,0.778,0.318,0.79,0.798,0.782,0.882,0.748,1.041,0.5,698.31,21.536,64.208,15.797,1,B2_009_MIP_colocalisation.csv,B2_009_MIP,B2_,B2_009_MIP.tif,698.31,2470.968,1725502.386,179,46384,2540.464,2149.162,1500782.276,142,36432,2863.15,B2_009_MIP_intensity.csv
